Service Type,Year,Value
July 4th Special Sked,"July 15, 2022",
Saturday,"July 15, 2022",
Saturday Holiday,"July 15, 2022",
Special(Saturday),"July 15, 2022",
Sunday,"July 15, 2022",
Sunday Holiday,"July 15, 2022",
Weekday,"July 15, 2022",258663.0
July 4th Special,"July 18, 2022",
July 4th Special Sked,"July 18, 2022",
Saturday,"July 18, 2022",
Saturday Holiday,"July 18, 2022",
Special(Saturday),"July 18, 2022",
Sunday,"July 18, 2022",
Sunday Holiday,"July 18, 2022",
Weekday,"July 18, 2022",220259.0
July 4th Special,"July 19, 2022",
July 4th Special Sked,"July 19, 2022",
Saturday,"July 19, 2022",
Saturday Holiday,"July 19, 2022",
Special(Saturday),"July 19, 2022",
Sunday,"July 19, 2022",
Sunday Holiday,"July 19, 2022",
Weekday,"July 19, 2022",266847.0
July 4th Special,"July 20, 2022",
July 4th Special Sked,"July 20, 2022",
Saturday,"July 20, 2022",
Saturday Holiday,"July 20, 2022",
Special(Saturday),"July 20, 2022",
Sunday,"July 20, 2022",
Sunday Holiday,"July 20, 2022",
Weekday,"July 20, 2022",271551.0
July 4th Special,"July 21, 2022",
July 4th Special Sked,"July 21, 2022",
Saturday,"July 21, 2022",
Saturday Holiday,"July 21, 2022",
Special(Saturday),"July 21, 2022",
Sunday,"July 21, 2022",
Sunday Holiday,"July 21, 2022",
Weekday,"July 21, 2022",254498.0
July 4th Special,"July 22, 2022",
July 4th Special Sked,"July 22, 2022",
Saturday,"July 22, 2022",
Saturday Holiday,"July 22, 2022",
Special(Saturday),"July 22, 2022",
Sunday,"July 22, 2022",
Sunday Holiday,"July 22, 2022",
Weekday,"July 22, 2022",231297.0
July 4th Special,"July 25, 2022",
July 4th Special Sked,"July 25, 2022",
Saturday,"July 25, 2022",
Saturday Holiday,"July 25, 2022",
Special(Saturday),"July 25, 2022",
Sunday,"July 25, 2022",
Sunday Holiday,"July 25, 2022",
Weekday,"July 25, 2022",212312.0
July 4th Special,"July 26, 2022",
July 4th Special Sked,"July 26, 2022",
Saturday,"July 26, 2022",
Saturday Holiday,"July 26, 2022",
Special(Saturday),"July 26, 2022",
Sunday,"July 26, 2022",
Sunday Holiday,"July 26, 2022",
Weekday,"July 26, 2022",259655.0
July 4th Special,"July 27, 2022",
July 4th Special Sked,"July 27, 2022",
Saturday,"July 27, 2022",
Saturday Holiday,"July 27, 2022",
Special(Saturday),"July 27, 2022",
Sunday,"July 27, 2022",
Sunday Holiday,"July 27, 2022",
Weekday,"July 27, 2022",264947.0
July 4th Special,"July 28, 2022",
July 4th Special Sked,"July 28, 2022",
Saturday,"July 28, 2022",
Saturday Holiday,"July 28, 2022",
Special(Saturday),"July 28, 2022",
Sunday,"July 28, 2022",
Sunday Holiday,"July 28, 2022",
Weekday,"July 28, 2022",266713.0
July 4th Special,"July 29, 2022",
July 4th Special Sked,"July 29, 2022",
Saturday,"July 29, 2022",
Saturday Holiday,"July 29, 2022",
Special(Saturday),"July 29, 2022",
Sunday,"July 29, 2022",
Sunday Holiday,"July 29, 2022",
Weekday,"July 29, 2022",246475.0
July 4th Special,"August 1, 2022",
July 4th Special Sked,"August 1, 2022",
Saturday,"August 1, 2022",
Saturday Holiday,"August 1, 2022",
Special(Saturday),"August 1, 2022",
Sunday,"August 1, 2022",
Sunday Holiday,"August 1, 2022",
Weekday,"August 1, 2022",221981.0
July 4th Special,"August 2, 2022",
July 4th Special Sked,"August 2, 2022",
Saturday,"August 2, 2022",
Saturday Holiday,"August 2, 2022",
Special(Saturday),"August 2, 2022",
Sunday,"August 2, 2022",
Sunday Holiday,"August 2, 2022",
Weekday,"August 2, 2022",271710.0
July 4th Special,"August 3, 2022",
July 4th Special Sked,"August 3, 2022",
Saturday,"August 3, 2022",
Saturday Holiday,"August 3, 2022",
Special(Saturday),"August 3, 2022",
Sunday,"August 3, 2022",
Sunday Holiday,"August 3, 2022",
Weekday,"August 3, 2022",268943.0
July 4th Special,"August 4, 2022",
July 4th Special Sked,"August 4, 2022",
Saturday,"August 4, 2022",
Saturday Holiday,"August 4, 2022",
Special(Saturday),"August 4, 2022",
Sunday,"August 4, 2022",
Sunday Holiday,"August 4, 2022",
Weekday,"August 4, 2022",249668.0
July 4th Special,"August 5, 2022",
July 4th Special Sked,"August 5, 2022",
Saturday,"August 5, 2022",
Saturday Holiday,"August 5, 2022",
Special(Saturday),"August 5, 2022",
Sunday,"August 5, 2022",
Sunday Holiday,"August 5, 2022",
Weekday,"August 5, 2022",212063.0
July 4th Special,"August 8, 2022",
July 4th Special Sked,"August 8, 2022",
Saturday,"August 8, 2022",
Saturday Holiday,"August 8, 2022",
Special(Saturday),"August 8, 2022",
Sunday,"August 8, 2022",
Sunday Holiday,"August 8, 2022",
Weekday,"August 8, 2022",219971.0
July 4th Special,"August 9, 2022",
July 4th Special Sked,"August 9, 2022",
Saturday,"August 9, 2022",
Saturday Holiday,"August 9, 2022",
Special(Saturday),"August 9, 2022",
Sunday,"August 9, 2022",
Sunday Holiday,"August 9, 2022",
Weekday,"August 9, 2022",242363.0
July 4th Special,"August 10, 2022",
July 4th Special Sked,"August 10, 2022",
Saturday,"August 10, 2022",
Saturday Holiday,"August 10, 2022",
Special(Saturday),"August 10, 2022",
Sunday,"August 10, 2022",
Sunday Holiday,"August 10, 2022",
Weekday,"August 10, 2022",236979.0
July 4th Special,"August 11, 2022",
July 4th Special Sked,"August 11, 2022",
Saturday,"August 11, 2022",
Saturday Holiday,"August 11, 2022",
Special(Saturday),"August 11, 2022",
Sunday,"August 11, 2022",
Sunday Holiday,"August 11, 2022",
Weekday,"August 11, 2022",242577.0
July 4th Special,"August 12, 2022",
July 4th Special Sked,"August 12, 2022",
Saturday,"August 12, 2022",
Saturday Holiday,"August 12, 2022",
Special(Saturday),"August 12, 2022",
Sunday,"August 12, 2022",
Sunday Holiday,"August 12, 2022",
Weekday,"August 12, 2022",238288.0
July 4th Special,"August 15, 2022",
July 4th Special Sked,"August 15, 2022",
Saturday,"August 15, 2022",
Saturday Holiday,"August 15, 2022",
Special(Saturday),"August 15, 2022",
Sunday,"August 15, 2022",
Sunday Holiday,"August 15, 2022",
Weekday,"August 15, 2022",213693.0
July 4th Special,"August 16, 2022",
July 4th Special Sked,"August 16, 2022",
Saturday,"August 16, 2022",
Saturday Holiday,"August 16, 2022",
Special(Saturday),"August 16, 2022",
Sunday,"August 16, 2022",
Sunday Holiday,"August 16, 2022",
Weekday,"August 16, 2022",256607.0
July 4th Special,"August 17, 2022",
July 4th Special Sked,"August 17, 2022",
Saturday,"August 17, 2022",
Saturday Holiday,"August 17, 2022",
Special(Saturday),"August 17, 2022",
Sunday,"August 17, 2022",
Sunday Holiday,"August 17, 2022",
Weekday,"August 17, 2022",253213.0
July 4th Special,"August 18, 2022",
July 4th Special Sked,"August 18, 2022",
Saturday,"August 18, 2022",
Saturday Holiday,"August 18, 2022",
Special(Saturday),"August 18, 2022",
Sunday,"August 18, 2022",
Sunday Holiday,"August 18, 2022",
Weekday,"August 18, 2022",240142.0
July 4th Special,"August 19, 2022",
July 4th Special Sked,"August 19, 2022",
Saturday,"August 19, 2022",
Saturday Holiday,"August 19, 2022",
Special(Saturday),"August 19, 2022",
Sunday,"August 19, 2022",
Sunday Holiday,"August 19, 2022",
Weekday,"August 19, 2022",219027.0
July 4th Special,"August 22, 2022",
July 4th Special Sked,"August 22, 2022",
Saturday,"August 22, 2022",
Saturday Holiday,"August 22, 2022",
Special(Saturday),"August 22, 2022",
Sunday,"August 22, 2022",
Sunday Holiday,"August 22, 2022",
Weekday,"August 22, 2022",205224.0
July 4th Special,"August 23, 2022",
July 4th Special Sked,"August 23, 2022",
Saturday,"August 23, 2022",
Saturday Holiday,"August 23, 2022",
Special(Saturday),"August 23, 2022",
Sunday,"August 23, 2022",
Sunday Holiday,"August 23, 2022",
Weekday,"August 23, 2022",258344.0
July 4th Special,"August 24, 2022",
July 4th Special Sked,"August 24, 2022",
Saturday,"August 24, 2022",
Saturday Holiday,"August 24, 2022",
Special(Saturday),"August 24, 2022",
Sunday,"August 24, 2022",
Sunday Holiday,"August 24, 2022",
Weekday,"August 24, 2022",248791.0
July 4th Special,"August 25, 2022",
July 4th Special Sked,"August 25, 2022",
Saturday,"August 25, 2022",
Saturday Holiday,"August 25, 2022",
Special(Saturday),"August 25, 2022",
Sunday,"August 25, 2022",
Sunday Holiday,"August 25, 2022",
Weekday,"August 25, 2022",245254.0
July 4th Special,"August 26, 2022",
July 4th Special Sked,"August 26, 2022",
Saturday,"August 26, 2022",
Saturday Holiday,"August 26, 2022",
Special(Saturday),"August 26, 2022",
Sunday,"August 26, 2022",
Sunday Holiday,"August 26, 2022",
Weekday,"August 26, 2022",234686.0
July 4th Special,"August 29, 2022",
July 4th Special Sked,"August 29, 2022",
Saturday,"August 29, 2022",
Saturday Holiday,"August 29, 2022",
Special(Saturday),"August 29, 2022",
Sunday,"August 29, 2022",
Sunday Holiday,"August 29, 2022",
Weekday,"August 29, 2022",220757.0
July 4th Special,"August 30, 2022",
July 4th Special Sked,"August 30, 2022",
Saturday,"August 30, 2022",
Saturday Holiday,"August 30, 2022",
Special(Saturday),"August 30, 2022",
Sunday,"August 30, 2022",
Sunday Holiday,"August 30, 2022",
Weekday,"August 30, 2022",256605.0
July 4th Special,"August 31, 2022",
July 4th Special Sked,"August 31, 2022",
Saturday,"August 31, 2022",
Saturday Holiday,"August 31, 2022",
Special(Saturday),"August 31, 2022",
Sunday,"August 31, 2022",
Sunday Holiday,"August 31, 2022",
Weekday,"August 31, 2022",265126.0
July 4th Special,"September 1, 2022",
July 4th Special Sked,"September 1, 2022",
Saturday,"September 1, 2022",
Saturday Holiday,"September 1, 2022",
Special(Saturday),"September 1, 2022",
Sunday,"September 1, 2022",
Sunday Holiday,"September 1, 2022",
Weekday,"September 1, 2022",253528.0
July 4th Special,"September 2, 2022",
July 4th Special Sked,"September 2, 2022",
Saturday,"September 2, 2022",
Saturday Holiday,"September 2, 2022",
Special(Saturday),"September 2, 2022",
Sunday,"September 2, 2022",
Sunday Holiday,"September 2, 2022",
Weekday,"September 2, 2022",221439.0
July 4th Special,"September 5, 2022",
July 4th Special Sked,"September 5, 2022",
Saturday,"September 5, 2022",
Saturday Holiday,"September 5, 2022",
Special(Saturday),"September 5, 2022",
Sunday,"September 5, 2022",106775.0
Sunday Holiday,"September 5, 2022",
Weekday,"September 5, 2022",
July 4th Special,"September 6, 2022",
July 4th Special Sked,"September 6, 2022",
Saturday,"September 6, 2022",
Saturday Holiday,"September 6, 2022",
Special(Saturday),"September 6, 2022",
Sunday,"September 6, 2022",
Sunday Holiday,"September 6, 2022",
Weekday,"September 6, 2022",254691.0
July 4th Special,"September 7, 2022",
July 4th Special Sked,"September 7, 2022",
Saturday,"September 7, 2022",
Saturday Holiday,"September 7, 2022",
Special(Saturday),"September 7, 2022",
Sunday,"September 7, 2022",
Sunday Holiday,"September 7, 2022",
Weekday,"September 7, 2022",270117.0
July 4th Special,"September 8, 2022",
July 4th Special Sked,"September 8, 2022",
Saturday,"September 8, 2022",
Saturday Holiday,"September 8, 2022",
Special(Saturday),"September 8, 2022",
Sunday,"September 8, 2022",
Sunday Holiday,"September 8, 2022",
Weekday,"September 8, 2022",291852.0
July 4th Special,"September 9, 2022",
July 4th Special Sked,"September 9, 2022",
Saturday,"September 9, 2022",
Saturday Holiday,"September 9, 2022",
Special(Saturday),"September 9, 2022",
Sunday,"September 9, 2022",
Sunday Holiday,"September 9, 2022",
Weekday,"September 9, 2022",243772.0
July 4th Special,"September 12, 2022",
July 4th Special Sked,"September 12, 2022",
Saturday,"September 12, 2022",
Saturday Holiday,"September 12, 2022",
Special(Saturday),"September 12, 2022",
Sunday,"September 12, 2022",
Sunday Holiday,"September 12, 2022",
Weekday,"September 12, 2022",227582.0
July 4th Special,"September 13, 2022",
July 4th Special Sked,"September 13, 2022",
Saturday,"September 13, 2022",
Saturday Holiday,"September 13, 2022",
Special(Saturday),"September 13, 2022",
Sunday,"September 13, 2022",
Sunday Holiday,"September 13, 2022",
Weekday,"September 13, 2022",283569.0
July 4th Special,"September 14, 2022",
July 4th Special Sked,"September 14, 2022",
Saturday,"September 14, 2022",
Saturday Holiday,"September 14, 2022",
Special(Saturday),"September 14, 2022",
Sunday,"September 14, 2022",
Sunday Holiday,"September 14, 2022",
Weekday,"September 14, 2022",292616.0
July 4th Special,"September 15, 2022",
July 4th Special Sked,"September 15, 2022",
Saturday,"September 15, 2022",
Saturday Holiday,"September 15, 2022",
Special(Saturday),"September 15, 2022",
Sunday,"September 15, 2022",
Sunday Holiday,"September 15, 2022",
Weekday,"September 15, 2022",273766.0
July 4th Special,"September 16, 2022",
July 4th Special Sked,"September 16, 2022",
Saturday,"September 16, 2022",
Saturday Holiday,"September 16, 2022",
Special(Saturday),"September 16, 2022",
Sunday,"September 16, 2022",
Sunday Holiday,"September 16, 2022",
Weekday,"September 16, 2022",248117.0
July 4th Special,"September 19, 2022",
July 4th Special Sked,"September 19, 2022",
Saturday,"September 19, 2022",
Saturday Holiday,"September 19, 2022",
Special(Saturday),"September 19, 2022",
Sunday,"September 19, 2022",
Sunday Holiday,"September 19, 2022",
Weekday,"September 19, 2022",229855.0
July 4th Special,"September 20, 2022",
July 4th Special Sked,"September 20, 2022",
Saturday,"September 20, 2022",
Saturday Holiday,"September 20, 2022",
Special(Saturday),"September 20, 2022",
Sunday,"September 20, 2022",
Sunday Holiday,"September 20, 2022",
Weekday,"September 20, 2022",276325.0
July 4th Special,"September 21, 2022",
July 4th Special Sked,"September 21, 2022",
Saturday,"September 21, 2022",
Saturday Holiday,"September 21, 2022",
Special(Saturday),"September 21, 2022",
Sunday,"September 21, 2022",
Sunday Holiday,"September 21, 2022",
Weekday,"September 21, 2022",279229.0
July 4th Special,"September 22, 2022",
July 4th Special Sked,"September 22, 2022",
Saturday,"September 22, 2022",
Saturday Holiday,"September 22, 2022",
Special(Saturday),"September 22, 2022",
Sunday,"September 22, 2022",
Sunday Holiday,"September 22, 2022",
Weekday,"September 22, 2022",265535.0
July 4th Special,"September 23, 2022",
July 4th Special Sked,"September 23, 2022",
Saturday,"September 23, 2022",
Saturday Holiday,"September 23, 2022",
Special(Saturday),"September 23, 2022",
Sunday,"September 23, 2022",
Sunday Holiday,"September 23, 2022",
Weekday,"September 23, 2022",242242.0
July 4th Special,"September 26, 2022",
July 4th Special Sked,"September 26, 2022",
Saturday,"September 26, 2022",
Saturday Holiday,"September 26, 2022",
Special(Saturday),"September 26, 2022",
Sunday,"September 26, 2022",
Sunday Holiday,"September 26, 2022",
Weekday,"September 26, 2022",234867.0
July 4th Special,"September 27, 2022",
July 4th Special Sked,"September 27, 2022",
Saturday,"September 27, 2022",
Saturday Holiday,"September 27, 2022",
Special(Saturday),"September 27, 2022",
Sunday,"September 27, 2022",
Sunday Holiday,"September 27, 2022",
Weekday,"September 27, 2022",291586.0
July 4th Special,"September 28, 2022",
July 4th Special Sked,"September 28, 2022",
Saturday,"September 28, 2022",
Saturday Holiday,"September 28, 2022",
Special(Saturday),"September 28, 2022",
Sunday,"September 28, 2022",
Sunday Holiday,"September 28, 2022",
Weekday,"September 28, 2022",288391.0
July 4th Special,"September 29, 2022",
July 4th Special Sked,"September 29, 2022",
Saturday,"September 29, 2022",
Saturday Holiday,"September 29, 2022",
Special(Saturday),"September 29, 2022",
Sunday,"September 29, 2022",
Sunday Holiday,"September 29, 2022",
Weekday,"September 29, 2022",274167.0
July 4th Special,"September 30, 2022",
July 4th Special Sked,"September 30, 2022",
Saturday,"September 30, 2022",
Saturday Holiday,"September 30, 2022",
Special(Saturday),"September 30, 2022",
Sunday,"September 30, 2022",
Sunday Holiday,"September 30, 2022",
Weekday,"September 30, 2022",240862.0
July 4th Special,"October 3, 2022",
July 4th Special Sked,"October 3, 2022",
Saturday,"October 3, 2022",
Saturday Holiday,"October 3, 2022",
Special(Saturday),"October 3, 2022",
Sunday,"October 3, 2022",
Sunday Holiday,"October 3, 2022",
Weekday,"October 3, 2022",223067.0
July 4th Special,"October 4, 2022",
July 4th Special Sked,"October 4, 2022",
Saturday,"October 4, 2022",
Saturday Holiday,"October 4, 2022",
Special(Saturday),"October 4, 2022",
Sunday,"October 4, 2022",
Sunday Holiday,"October 4, 2022",
Weekday,"October 4, 2022",268474.0
July 4th Special,"October 5, 2022",
July 4th Special Sked,"October 5, 2022",
Saturday,"October 5, 2022",
Saturday Holiday,"October 5, 2022",
Special(Saturday),"October 5, 2022",
Sunday,"October 5, 2022",
Sunday Holiday,"October 5, 2022",
Weekday,"October 5, 2022",272723.0
July 4th Special,"October 6, 2022",
July 4th Special Sked,"October 6, 2022",
Saturday,"October 6, 2022",
Saturday Holiday,"October 6, 2022",
Special(Saturday),"October 6, 2022",
Sunday,"October 6, 2022",
Sunday Holiday,"October 6, 2022",
Weekday,"October 6, 2022",278864.0
July 4th Special,"October 7, 2022",
July 4th Special Sked,"October 7, 2022",
Saturday,"October 7, 2022",
Saturday Holiday,"October 7, 2022",
Special(Saturday),"October 7, 2022",
Sunday,"October 7, 2022",
Sunday Holiday,"October 7, 2022",
Weekday,"October 7, 2022",247807.0
July 4th Special,"October 10, 2022",
July 4th Special Sked,"October 10, 2022",
Saturday,"October 10, 2022",183305.0
Saturday Holiday,"October 10, 2022",
Special(Saturday),"October 10, 2022",
Sunday,"October 10, 2022",
Sunday Holiday,"October 10, 2022",
Weekday,"October 10, 2022",
July 4th Special,"October 11, 2022",
July 4th Special Sked,"October 11, 2022",
Saturday,"October 11, 2022",
Saturday Holiday,"October 11, 2022",
Special(Saturday),"October 11, 2022",
Sunday,"October 11, 2022",
Sunday Holiday,"October 11, 2022",
Weekday,"October 11, 2022",290998.0
July 4th Special,"October 12, 2022",
July 4th Special Sked,"October 12, 2022",
Saturday,"October 12, 2022",
Saturday Holiday,"October 12, 2022",
Special(Saturday),"October 12, 2022",
Sunday,"October 12, 2022",
Sunday Holiday,"October 12, 2022",
Weekday,"October 12, 2022",312191.0
July 4th Special,"October 13, 2022",
July 4th Special Sked,"October 13, 2022",
Saturday,"October 13, 2022",
Saturday Holiday,"October 13, 2022",
Special(Saturday),"October 13, 2022",
Sunday,"October 13, 2022",
Sunday Holiday,"October 13, 2022",
Weekday,"October 13, 2022",269686.0
July 4th Special,"October 14, 2022",
July 4th Special Sked,"October 14, 2022",
Saturday,"October 14, 2022",
Saturday Holiday,"October 14, 2022",
Special(Saturday),"October 14, 2022",
Sunday,"October 14, 2022",
Sunday Holiday,"October 14, 2022",
Weekday,"October 14, 2022",261553.0
July 4th Special,"October 17, 2022",
July 4th Special Sked,"October 17, 2022",
Saturday,"October 17, 2022",
Saturday Holiday,"October 17, 2022",
Special(Saturday),"October 17, 2022",
Sunday,"October 17, 2022",
Sunday Holiday,"October 17, 2022",
Weekday,"October 17, 2022",242744.0
July 4th Special,"October 18, 2022",
July 4th Special Sked,"October 18, 2022",
Saturday,"October 18, 2022",
Saturday Holiday,"October 18, 2022",
Special(Saturday),"October 18, 2022",
Sunday,"October 18, 2022",
Sunday Holiday,"October 18, 2022",
Weekday,"October 18, 2022",289988.0
July 4th Special,"October 19, 2022",
July 4th Special Sked,"October 19, 2022",
Saturday,"October 19, 2022",
Saturday Holiday,"October 19, 2022",
Special(Saturday),"October 19, 2022",
Sunday,"October 19, 2022",
Sunday Holiday,"October 19, 2022",
Weekday,"October 19, 2022",290897.0
July 4th Special,"October 20, 2022",
July 4th Special Sked,"October 20, 2022",
Saturday,"October 20, 2022",
Saturday Holiday,"October 20, 2022",
Special(Saturday),"October 20, 2022",
Sunday,"October 20, 2022",
Sunday Holiday,"October 20, 2022",
Weekday,"October 20, 2022",283446.0
July 4th Special,"October 21, 2022",
July 4th Special Sked,"October 21, 2022",
Saturday,"October 21, 2022",
Saturday Holiday,"October 21, 2022",
Special(Saturday),"October 21, 2022",
Sunday,"October 21, 2022",
Sunday Holiday,"October 21, 2022",
Weekday,"October 21, 2022",264818.0
July 4th Special,"October 24, 2022",
July 4th Special Sked,"October 24, 2022",
Saturday,"October 24, 2022",
